tarih,bdt
2006-08-28,41.03
2006-09-04,40.5
2006-09-11,41.51
2006-09-18,42.05
2006-09-25,42.54
2006-10-02,42.4
2006-10-09,42.76
2006-10-16,43.65
2006-10-23,
2006-10-30,46.03
2006-11-06,46.03
2006-11-13,46.22
2006-11-20,46.31
2006-11-27,47.24
2006-12-04,46.99
2006-12-11,46.84
2006-12-18,46.99
2006-12-25,46.58
2007-01-01,
2007-01-08,46.91
2007-01-15,46.72
2007-01-22,46.69
2007-01-29,47.43
2007-02-05,47.68
2007-02-12,47.45
2007-02-19,47.56
2007-02-26,48.7
2007-03-05,48.07
2007-03-12,47.29
2007-03-19,47.47
2007-03-26,48.12
2007-04-02,48.76
2007-04-09,49.34
2007-04-16,49.96
2007-04-23,49.62
2007-04-30,50.31
2007-05-07,50.32
2007-05-14,50.38
2007-05-21,51.28
2007-05-28,50.24
2007-06-04,50.85
2007-06-11,50.38
2007-06-18,50.06
2007-06-25,50.22
2007-07-02,49.34
2007-07-09,48.97
2007-07-16,48.62
2007-07-23,47.28
2007-07-30,46.43
2007-08-06,
2007-08-13,44.59
2007-08-20,44.56
2007-08-27,45.09
2007-09-03,44.09
2007-09-10,43.52
2007-09-17,43.64
2007-09-24,44.57
2007-10-01,44.49
2007-10-08,45.31
2007-10-15,
2007-10-22,47.0
2007-10-29,46.99
2007-11-05,48.0
2007-11-12,48.2
2007-11-19,49.04
2007-11-26,49.25
2007-12-03,49.25
2007-12-10,48.7
2007-12-17,48.75
2007-12-24,
2007-12-31,49.69
2008-01-07,49.41
2008-01-14,50.09
2008-01-21,49.09
2008-01-28,49.86
2008-02-04,49.9
2008-02-11,49.98
2008-02-18,50.12
2008-02-25,50.52
2008-03-03,50.42
2008-03-10,50.81
2008-03-17,49.85
2008-03-24,51.33
2008-03-31,51.42
2008-04-07,52.01
2008-04-14,52.4
2008-04-21,52.76
2008-04-28,52.19
2008-05-05,52.41
2008-05-12,53.37
2008-05-19,54.05
2008-05-26,53.81
2008-06-02,53.21
2008-06-09,53.17
2008-06-16,53.3
2008-06-23,52.12
2008-06-30,51.85
2008-07-07,50.6
2008-07-14,49.96
2008-07-21,50.19
2008-07-28,49.7
2008-08-04,
2008-08-11,47.59
2008-08-18,46.94
2008-08-25,46.86
2008-09-01,46.63
2008-09-08,46.57
2008-09-15,46.58
2008-09-22,47.68
2008-09-29,
2008-10-06,48.69
2008-10-13,48.43
2008-10-20,49.29
2008-10-27,51.26
2008-11-03,51.65
2008-11-10,50.61
2008-11-17,51.12
2008-11-24,52.21
2008-12-01,52.11
2008-12-08,
2008-12-15,51.76
2008-12-22,51.97
2008-12-29,51.44
2009-01-05,52.09
2009-01-12,51.81
2009-01-19,52.1
2009-01-26,51.71
2009-02-02,52.5
2009-02-09,52.48
2009-02-16,52.54
2009-02-23,53.2
2009-03-02,52.66
2009-03-09,52.42
2009-03-16,52.93
2009-03-23,54.0
2009-03-30,53.52
2009-04-06,54.32
2009-04-13,54.53
2009-04-20,55.68
2009-04-27,55.7
2009-05-04,56.08
2009-05-11,55.73
2009-05-18,55.51
2009-05-25,56.22
2009-06-01,56.06
2009-06-08,56.74
2009-06-15,54.8
2009-06-22,54.71
2009-06-29,54.18
2009-07-06,53.97
2009-07-13,53.8
2009-07-20,52.64
2009-07-27,51.39
2009-08-03,
2009-08-10,50.57
2009-08-17,49.21
2009-08-24,49.22
2009-08-31,48.47
2009-09-07,48.98
2009-09-14,49.08
2009-09-21,
2009-09-28,48.76
2009-10-05,49.45
2009-10-12,51.08
2009-10-19,51.95
2009-10-26,51.8
2009-11-02,53.1
2009-11-09,53.36
2009-11-16,53.22
2009-11-23,53.75
2009-11-30,
2009-12-07,54.37
2009-12-14,53.85
2009-12-21,53.47
2009-12-28,54.46
2010-01-04,54.23
2010-01-11,54.27
2010-01-18,54.85
2010-01-25,54.34
2010-02-01,54.41
2010-02-08,54.19
2010-02-15,54.66
2010-02-22,54.5
2010-03-01,54.61
2010-03-08,56.4
2010-03-15,56.03
2010-03-22,56.31
2010-03-29,55.57
2010-04-05,56.03
2010-04-12,57.35
2010-04-19,56.89
2010-04-26,56.89
2010-05-03,57.93
2010-05-10,58.24
2010-05-17,58.54
2010-05-24,58.41
2010-05-31,58.59
2010-06-07,58.66
2010-06-14,57.74
2010-06-21,56.88
2010-06-28,56.31
2010-07-05,56.66
2010-07-12,55.14
2010-07-19,54.94
2010-07-26,54.14
2010-08-02,
2010-08-09,51.87
2010-08-16,51.67
2010-08-23,51.34
2010-08-30,50.95
2010-09-06,51.4
2010-09-13,
2010-09-20,49.96
2010-09-27,50.9
2010-10-04,52.03
2010-10-11,52.39
2010-10-18,53.4
2010-10-25,53.5
2010-11-01,53.66
2010-11-08,54.2
2010-11-15,55.5
2010-11-22,
2010-11-29,55.88
2010-12-06,56.31
2010-12-13,55.99
2010-12-20,56.96
2010-12-27,56.25
2011-01-03,55.99
2011-01-10,56.05
2011-01-17,55.96
2011-01-24,56.68
2011-01-31,56.09
2011-02-07,56.74
2011-02-14,55.81
2011-02-21,57.01
2011-02-28,57.21
2011-03-07,57.66
2011-03-14,57.75
2011-03-21,57.7
2011-03-28,58.27
2011-04-04,58.88
2011-04-11,58.72
2011-04-18,59.06
2011-04-25,59.67
2011-05-02,59.39
2011-05-09,60.69
2011-05-16,61.28
2011-05-23,61.08
2011-05-30,60.21
2011-06-06,60.23
2011-06-13,59.7
2011-06-20,59.13
2011-06-27,58.58
2011-07-04,57.78
2011-07-11,57.5
2011-07-18,57.22
2011-07-25,55.9
2011-08-01,
2011-08-08,54.93
2011-08-15,54.12
2011-08-22,53.66
2011-08-29,
2011-09-05,52.65
2011-09-12,53.05
2011-09-19,52.51
2011-09-26,53.34
2011-10-03,53.11
2011-10-10,54.23
2011-10-17,54.06
2011-10-24,55.01
2011-10-31,56.16
2011-11-07,
2011-11-14,57.17
2011-11-21,58.15
2011-11-28,57.77
2011-12-05,57.56
2011-12-12,57.85
2011-12-19,58.31
2011-12-26,58.12
2012-01-02,57.97
2012-01-09,58.63
2012-01-16,57.97
2012-01-23,58.45
2012-01-30,58.8
2012-02-06,58.89
2012-02-13,59.0
2012-02-20,59.52
2012-02-27,59.0
2012-03-05,59.29
2012-03-12,58.63
2012-03-19,59.16
2012-03-26,59.29
2012-04-02,59.94
2012-04-09,60.36
2012-04-16,60.49
2012-04-23,60.48
2012-04-30,61.31
2012-05-07,61.52
2012-05-14,62.19
2012-05-21,62.81
2012-05-28,62.69
2012-06-04,62.32
2012-06-11,62.08
2012-06-18,61.65
2012-06-25,60.47
2012-07-02,59.9
2012-07-09,59.53
2012-07-16,58.74
2012-07-23,57.72
2012-07-30,56.75
2012-08-06,
2012-08-13,55.39
2012-08-20,
2012-08-27,54.61
2012-09-03,54.26
2012-09-10,54.3
2012-09-17,55.02
2012-09-24,55.56
2012-10-01,55.47
2012-10-08,55.88
2012-10-15,56.01
2012-10-22,56.59
2012-10-29,
2012-11-05,58.61
2012-11-12,58.99
2012-11-19,59.02
2012-11-26,59.66
2012-12-03,59.96
2012-12-10,59.66
2012-12-17,60.03
2012-12-24,59.72
2012-12-31,59.78
2013-01-07,60.42
2013-01-14,60.1
2013-01-21,60.12
2013-01-28,59.96
2013-02-04,60.36
2013-02-11,60.41
2013-02-18,59.93
2013-02-25,60.21
2013-03-04,60.5
2013-03-11,60.63
2013-03-18,61.41
2013-03-25,61.64
2013-04-01,61.2
2013-04-08,62.28
2013-04-15,63.09
2013-04-22,62.74
2013-04-29,63.37
2013-05-06,63.54
2013-05-13,63.96
2013-05-20,64.26
2013-05-27,64.35
2013-06-03,64.68
2013-06-10,64.86
2013-06-17,63.58
2013-06-24,62.48
2013-07-01,61.34
2013-07-08,61.37
2013-07-15,61.29
2013-07-22,60.2
2013-07-29,59.2
2013-08-05,
2013-08-12,57.22
2013-08-19,56.33
2013-08-26,55.71
2013-09-02,55.75
2013-09-09,56.1
2013-09-16,56.51
2013-09-23,56.62
2013-09-30,56.21
2013-10-07,56.8
2013-10-14,
2013-10-21,58.63
2013-10-28,58.61
2013-11-04,59.63
2013-11-11,60.79
2013-11-18,61.28
2013-11-25,61.14
2013-12-02,61.74
2013-12-09,61.37
2013-12-16,62.0
2013-12-23,62.12
2013-12-30,61.89
2014-01-06,61.92
2014-01-13,62.46
2014-01-20,61.52
2014-01-27,60.95
2014-02-03,61.35
2014-02-10,61.5
2014-02-17,61.7
2014-02-24,61.88
2014-03-03,61.21
2014-03-10,62.63
2014-03-17,62.65
2014-03-24,62.37
2014-03-31,63.81
2014-04-07,63.91
2014-04-14,63.96
2014-04-21,64.65
2014-04-28,65.68
2014-05-05,65.91
2014-05-12,66.24
2014-05-19,66.53
2014-05-26,66.4
2014-06-02,65.61
2014-06-09,65.73
2014-06-16,65.53
2014-06-23,65.33
2014-06-30,63.96
2014-07-07,63.03
2014-07-14,62.25
2014-07-21,62.14
2014-07-28,
2014-08-04,
2014-08-11,58.41
2014-08-18,57.81
2014-08-25,58.46
2014-09-01,57.91
2014-09-08,58.24
2014-09-15,57.99
2014-09-22,58.84
2014-09-29,58.48
2014-10-06,
2014-10-13,58.35
2014-10-20,60.19
2014-10-27,60.61
2014-11-03,60.76
2014-11-10,61.93
2014-11-17,62.65
2014-11-24,63.34
2014-12-01,63.38
2014-12-08,63.44
2014-12-15,62.93
2014-12-22,63.28
2014-12-29,63.37
2015-01-05,63.53
2015-01-12,63.44
2015-01-19,63.49
2015-01-26,62.96
2015-02-02,64.45
2015-02-09,63.4
2015-02-16,63.88
2015-02-23,64.5
2015-03-02,64.31
2015-03-09,64.6
2015-03-16,64.63
2015-03-23,64.33
2015-03-30,64.79
2015-04-06,65.28
2015-04-13,65.88
2015-04-20,66.43
2015-04-27,66.12
2015-05-04,65.97
2015-05-11,66.6
2015-05-18,66.69
2015-05-25,66.73
2015-06-01,67.27
2015-06-08,67.41
2015-06-15,67.33
2015-06-22,66.34
2015-06-29,65.74
2015-07-06,64.7
2015-07-13,64.65
2015-07-20,
2015-07-27,62.83
2015-08-03,
2015-08-10,60.71
2015-08-17,60.17
2015-08-24,59.18
2015-08-31,58.15
2015-09-07,58.63
2015-09-14,59.43
2015-09-21,58.58
2015-09-28,
2015-10-05,59.59
2015-10-12,60.53
2015-10-19,61.9
2015-10-26,61.92
2015-11-02,62.73
2015-11-09,63.61
2015-11-16,63.42
2015-11-23,63.69
2015-11-30,63.39
2015-12-07,64.74
2015-12-14,64.47
2015-12-21,64.22
2015-12-28,65.26
2016-01-04,64.7
2016-01-11,64.68
2016-01-18,64.96
2016-01-25,64.33
2016-02-01,64.72
2016-02-08,64.77
2016-02-15,64.56
2016-02-22,65.09
2016-02-29,65.1
2016-03-07,65.81
2016-03-14,66.24
2016-03-21,65.99
2016-03-28,65.56
2016-04-04,67.07
2016-04-11,66.38
2016-04-18,67.59
2016-04-25,68.03
2016-05-02,69.13
2016-05-09,68.38
2016-05-16,68.96
2016-05-23,69.34
2016-05-30,69.0
2016-06-06,68.83
2016-06-13,68.13
2016-06-20,68.81
2016-06-27,67.59
2016-07-04,
2016-07-11,65.63
2016-07-18,64.68
2016-07-25,63.53
2016-08-01,
2016-08-08,61.71
2016-08-15,61.28
2016-08-22,60.5
2016-08-29,59.84
2016-09-05,59.38
2016-09-12,
2016-09-19,60.15
2016-09-26,61.04
2016-10-03,60.87
2016-10-10,62.05
2016-10-17,61.89
2016-10-24,62.75
2016-10-31,64.07
2016-11-07,64.61
2016-11-14,64.89
2016-11-21,64.57
2016-11-28,65.54
2016-12-05,65.47
2016-12-12,65.71
2016-12-19,65.79
2016-12-26,66.4
2017-01-02,66.21
2017-01-09,65.8
2017-01-16,66.03
2017-01-23,66.81
2017-01-30,66.69
2017-02-06,66.64
2017-02-13,66.23
2017-02-20,66.22
2017-02-27,66.4
2017-03-06,67.2
2017-03-13,67.37
2017-03-20,67.09
2017-03-27,67.31
2017-04-03,67.69
2017-04-10,67.99
2017-04-17,68.98
2017-04-24,68.28
2017-05-01,69.12
2017-05-08,70.09
2017-05-15,70.01
2017-05-22,69.62
2017-05-29,69.1
2017-06-05,69.36
2017-06-12,69.01
2017-06-19,68.66
2017-06-26,
2017-07-03,68.24
2017-07-10,66.33
2017-07-17,65.89
2017-07-24,65.27
2017-07-31,64.13
2017-08-07,
2017-08-14,62.6
2017-08-21,61.98
2017-08-28,61.21
2017-09-04,
2017-09-11,61.88
2017-09-18,61.62
2017-09-25,61.15
2017-10-02,62.27
2017-10-09,63.58
2017-10-16,63.47
2017-10-23,64.27
2017-10-30,64.6
2017-11-06,64.98
2017-11-13,66.4
2017-11-20,66.95
2017-11-27,67.38
2017-12-04,67.48
2017-12-11,66.98
2017-12-18,66.85
2017-12-25,66.35
2018-01-01,67.01
2018-01-08,66.35
2018-01-15,67.51
2018-01-22,66.59
2018-01-29,67.34
2018-02-05,66.76
2018-02-12,66.81
2018-02-19,67.91
2018-02-26,67.64
2018-03-05,68.3
2018-03-12,68.21
2018-03-19,68.35
2018-03-26,68.54
2018-04-02,69.23
2018-04-09,68.99
2018-04-16,69.11
2018-04-23,70.01
2018-04-30,70.39
2018-05-07,71.05
2018-05-14,71.08
2018-05-21,72.2
2018-05-28,71.85
2018-06-04,71.11
2018-06-11,70.46
2018-06-18,
2018-06-25,70.25
2018-07-02,69.53
2018-07-09,68.47
2018-07-16,67.29
2018-07-23,65.42
2018-07-30,64.85
2018-08-06,
2018-08-13,63.49
2018-08-20,63.38
2018-08-27,
2018-09-03,61.64
2018-09-10,62.55
2018-09-17,62.73
2018-09-24,62.0
2018-10-01,62.34
2018-10-08,63.84
2018-10-15,64.59
2018-10-22,65.26
2018-10-29,65.96
2018-11-05,67.2
2018-11-12,67.74
2018-11-19,67.28
2018-11-26,67.49
2018-12-03,67.69
2018-12-10,68.3
2018-12-17,67.87
2018-12-24,67.83
2018-12-31,68.18
2019-01-07,68.5
2019-01-14,68.07
2019-01-21,67.85
2019-01-28,68.54
2019-02-04,68.72
2019-02-11,68.84
2019-02-18,68.3
2019-02-25,67.86
2019-03-04,69.02
2019-03-11,69.77
2019-03-18,70.22
2019-03-25,69.43
2019-04-01,69.76
2019-04-08,70.14
2019-04-15,71.04
2019-04-22,70.81
2019-04-29,71.5
2019-05-06,71.6
2019-05-13,72.13
2019-05-20,72.48
2019-05-27,72.45
2019-06-03,
2019-06-10,72.56
2019-06-17,71.96
2019-06-24,71.5
2019-07-01,71.07
2019-07-08,70.36
2019-07-15,69.19
2019-07-22,67.72
2019-07-29,65.89
2019-08-05,
2019-08-12,
2019-08-19,64.02
2019-08-26,63.63
2019-09-02,63.5
2019-09-09,63.39
2019-09-16,63.18
2019-09-23,63.77
2019-09-30,65.4
2019-10-07,65.52
2019-10-14,65.44
2019-10-21,66.83
2019-10-28,67.49
2019-11-04,68.5
2019-11-11,68.11
2019-11-18,68.27
2019-11-25,68.84
2019-12-02,68.84
2019-12-09,68.21
2019-12-16,69.27
2019-12-23,69.24
2019-12-30,68.97
2020-01-06,68.74
2020-01-13,69.62
2020-01-20,68.89
2020-01-27,69.59
2020-02-03,69.93
2020-02-10,69.63
2020-02-17,69.4
2020-02-24,69.34
2020-03-02,69.59
2020-03-09,69.55
2020-03-16,69.98
2020-03-23,66.79
2020-03-30,64.02
2020-04-06,62.06
2020-04-13,62.25
2020-04-20,61.74
2020-04-27,61.25
2020-05-04,61.39
2020-05-11,61.4
2020-05-18,62.14
2020-05-25,
2020-06-01,62.55
2020-06-08,62.82
2020-06-15,61.48
2020-06-22,61.59
2020-06-29,61.77
2020-07-06,60.84
2020-07-13,60.14
2020-07-20,60.09
2020-07-27,58.37
2020-08-03,
2020-08-10,57.34
2020-08-17,57.07
2020-08-24,56.33
2020-08-31,56.69
2020-09-07,55.81
2020-09-14,57.06
2020-09-21,57.31
2020-09-28,58.27
2020-10-05,59.36
2020-10-12,59.94
2020-10-19,61.34
2020-10-26,61.47
2020-11-02,62.11
2020-11-09,63.06
2020-11-16,63.03
2020-11-23,63.67
2020-11-30,63.52
2020-12-07,64.2
2020-12-14,63.93
2020-12-21,64.63
2020-12-28,64.65
2021-01-04,64.83
2021-01-11,65.15
2021-01-18,65.68
2021-01-25,65.49
2021-02-01,66.87
2021-02-08,66.21
2021-02-15,66.83
2021-02-22,67.09
2021-03-01,66.07
2021-03-08,66.06
2021-03-15,67.4
2021-03-22,67.6
2021-03-29,68.66
2021-04-05,68.89
2021-04-12,68.99
2021-04-19,69.96
2021-04-26,71.02
2021-05-03,71.2
2021-05-10,
2021-05-17,71.83
2021-05-24,72.15
2021-05-31,72.25
2021-06-07,72.13
2021-06-14,71.49
2021-06-21,70.88
2021-06-28,70.61
2021-07-05,69.43
2021-07-12,68.74
2021-07-19,
2021-07-26,66.58
2021-08-02,
2021-08-09,64.93
2021-08-16,64.62
2021-08-23,63.37
2021-08-30,63.43
2021-09-06,63.33
2021-09-13,62.93
2021-09-20,63.04
2021-09-27,64.08
2021-10-04,64.96
2021-10-11,65.6
2021-10-18,65.41
2021-10-25,67.28
2021-11-01,67.73
2021-11-08,68.18
2021-11-15,69.17
2021-11-22,69.34
2021-11-29,69.93
2021-12-06,69.55
2021-12-13,69.93
2021-12-20,69.64
2021-12-27,70.47
2022-01-03,70.31
2022-01-10,70.5
2022-01-17,69.92
2022-01-24,69.85
2022-01-31,70.55
2022-02-07,69.47
2022-02-14,70.06
2022-02-21,70.0
2022-02-28,70.52
2022-03-07,71.65
2022-03-14,71.24
2022-03-21,71.88
2022-03-28,71.38
2022-04-04,72.09
2022-04-11,73.05
2022-04-18,72.93
2022-04-25,73.29
2022-05-02,
2022-05-09,73.52
2022-05-16,73.42
2022-05-23,73.94
2022-05-30,74.67
2022-06-06,74.19
2022-06-13,73.63
2022-06-20,73.06
2022-06-27,72.91
2022-07-04,71.78
2022-07-11,
2022-07-18,70.04
2022-07-25,69.11
2022-08-01,
2022-08-08,66.94
2022-08-15,66.85
2022-08-22,65.81
2022-08-29,65.86
2022-09-05,65.75
2022-09-12,65.81
2022-09-19,66.24
2022-09-26,66.16
2022-10-03,66.36
2022-10-10,66.61
2022-10-17,68.17
2022-10-24,68.92
2022-10-31,69.39
2022-11-07,70.63
2022-11-14,70.49
2022-11-21,70.72
2022-11-28,70.82
2022-12-05,71.72
2022-12-12,71.49
2022-12-19,71.18
2022-12-26,70.69
2023-01-02,70.61
2023-01-09,72.14
2023-01-16,72.31
2023-01-23,71.61
2023-01-30,71.64
2023-02-06,72.04
2023-02-13,71.89
2023-02-20,71.46
2023-02-27,71.59
2023-03-06,72.46
2023-03-13,72.55
2023-03-20,72.73
2023-03-27,72.88
2023-04-03,73.57
2023-04-10,74.23
2023-04-17,74.63
2023-04-24,
2023-05-01,75.22
2023-05-08,76.2
2023-05-15,76.84
2023-05-22,76.55
2023-05-29,76.52
2023-06-05,76.53
2023-06-12,75.47
2023-06-19,75.5
2023-06-26,73.79
2023-07-03,
2023-07-10,72.91
2023-07-17,72.26
2023-07-24,70.62
2023-07-31,69.82
2023-08-07,
2023-08-14,67.85
2023-08-21,66.35
2023-08-28,66.83
2023-09-04,66.23
2023-09-11,66.31
2023-09-18,66.41
2023-09-25,67.39
2023-10-02,67.46
2023-10-09,68.41
2023-10-16,69.48
2023-10-23,69.78
2023-10-30,70.28
2023-11-06,70.21
2023-11-13,71.3
2023-11-20,71.75
2023-11-27,72.49
2023-12-04,72.41
2023-12-11,72.92
2023-12-18,72.94
2023-12-25,71.55
2024-01-01,71.93
2024-01-08,72.61
2024-01-15,72.38
2024-01-22,73.52
2024-01-29,72.44
2024-02-05,72.15
2024-02-12,73.01
2024-02-19,72.66
2024-02-26,73.24
2024-03-04,73.11
2024-03-11,74.31
2024-03-18,73.71
2024-03-25,73.95
2024-04-01,73.59
2024-04-08,
2024-04-15,75.26
2024-04-22,75.26
2024-04-29,75.75
2024-05-06,76.85
2024-05-13,77.07
2024-05-20,77.08
2024-05-27,76.93
2024-06-03,76.83
2024-06-10,76.11
2024-06-17,
2024-06-24,75.2
2024-07-01,75.9
2024-07-08,74.35
2024-07-15,73.31
2024-07-22,72.07
2024-07-29,70.43
2024-08-05,
2024-08-12,68.64
2024-08-19,67.68
2024-08-26,67.75
2024-09-02,67.64
2024-09-09,68.16
2024-09-16,67.26
2024-09-23,68.48
2024-09-30,68.42
2024-10-07,69.07
2024-10-14,70.26
2024-10-21,70.49
2024-10-28,70.67
2024-11-04,71.3
2024-11-11,71.96
2024-11-18,72.48
2024-11-25,73.46
2024-12-02,73.75
2024-12-09,74.21
2024-12-16,73.25
2024-12-23,73.95
2024-12-30,73.55
2025-01-06,72.91
2025-01-13,73.3
2025-01-20,73.56
2025-01-27,73.94
2025-02-03,74.01
2025-02-10,73.42
2025-02-17,73.55
2025-02-24,72.85
2025-03-03,74.0
2025-03-10,74.21
2025-03-17,74.03
2025-03-24,74.89
2025-03-31,
2025-04-07,74.88
2025-04-14,75.88
2025-04-21,75.86
2025-04-28,76.58
2025-05-05,76.63
2025-05-12,77.6
2025-05-19,77.89
2025-05-26,77.4
2025-06-02,77.25
2025-06-09,
2025-06-16,76.78
2025-06-23,76.61
2025-06-30,75.85
2025-07-07,75.21
2025-07-14,72.7
2025-07-21,72.01
2025-07-28,71.85
2025-08-04,
2025-08-11,70.01
2025-08-18,69.12
2025-08-25,68.73
